ID,lat,lng,alt,distance
177,35.082293,137.160767,34.23,188
178,35.082303,137.160768,34.23,189
179,35.082312,137.160769,34.23,190
180,35.082322,137.16077,34.23,191
181,35.082332,137.160771,34.23,192
182,35.082341,137.160772,34.22,193
183,35.082351,137.160773,34.22,194
184,35.082361,137.160774,34.22,195
185,35.08237,137.160775,34.22,196
186,35.08238,137.160776,34.24,198
187,35.082389,137.160776,34.24,199
188,35.082399,137.160777,34.24,200
189,35.082409,137.160778,34.24,201
190,35.082418,137.160779,34.26,202
191,35.082428,137.16078,34.26,203
192,35.082437,137.160781,34.26,204
193,35.082447,137.160782,34.25,205
194,35.082457,137.160783,34.25,206
195,35.082466,137.160784,34.25,207
196,35.082476,137.160785,34.25,208
197,35.082486,137.160786,34.26,209
198,35.082495,137.160787,34.26,210
199,35.082505,137.160788,34.33,211
200,35.082512,137.160785,34.26,212
201,35.082513,137.160773,34.26,214
202,35.082513,137.160762,34.26,215
203,35.082514,137.16075,34.26,216
204,35.082515,137.160738,34.21,217
205,35.082516,137.160727,34.21,218
206,35.082517,137.160715,34.21,219
207,35.082518,137.160703,34.21,220
208,35.082519,137.160691,34.2,221
209,35.08252,137.16068,34.2,222
210,35.082521,137.160668,34.2,223
211,35.082521,137.160656,34.22,224
212,35.082522,137.160645,34.22,225
213,35.082523,137.160633,34.22,226
214,35.082524,137.160621,34.22,227
215,35.082525,137.16061,34.22,229
216,35.082526,137.160598,34.22,230
217,35.082527,137.160586,34.22,231
218,35.082528,137.160575,34.22,232
219,35.082529,137.160563,34.15,233
220,35.08253,137.160551,34.15,234
221,35.08253,137.16054,34.15,235
222,35.082531,137.160528,34.1,236
223,35.082532,137.160516,34.1,237
224,35.082533,137.160505,34.1,238
225,35.082534,137.160493,34.1,239
226,35.082535,137.160481,34.11,240
227,35.082536,137.160469,34.11,241
228,35.082537,137.160458,34.11,242
229,35.082538,137.160446,34.11,244
230,35.082539,137.160434,34.15,245
231,35.082539,137.160423,34.15,246
232,35.08254,137.160411,34.15,247
233,35.082541,137.160399,34.15,248
234,35.082542,137.160388,34.15,249
235,35.082543,137.160376,34.15,250
236,35.082544,137.160364,34.15,251
237,35.082545,137.160353,34.16,252
238,35.082546,137.160341,34.16,253
239,35.082547,137.160329,34.16,254
240,35.082547,137.160318,34.16,255
241,35.082548,137.160306,34.16,256
242,35.082549,137.160294,34.16,257
243,35.08255,137.160283,34.16,259
244,35.082551,137.160271,34.14,260
245,35.082552,137.160259,34.14,261
246,35.082553,137.160247,34.14,262
247,35.082554,137.160236,34.14,263
248,35.082555,137.160224,34.16,264
249,35.082556,137.160212,34.16,265
250,35.082556,137.160201,34.16,266
251,35.082557,137.160189,34.16,267
252,35.082558,137.160177,34.14,268
253,35.082555,137.16017,34.14,269
254,35.082545,137.16017,34.09,270
255,35.082535,137.160169,34.09,271
256,35.082526,137.160168,34.09,272
257,35.082516,137.160167,34.09,274
258,35.082506,137.160166,34.05,275
259,35.082497,137.160166,34.05,276
260,35.082487,137.160165,34.05,277
261,35.082478,137.160164,34.03,278
262,35.082468,137.160163,34.03,279
263,35.082458,137.160162,34.03,280
264,35.082449,137.160162,34.03,281
265,35.082439,137.160161,34.04,282
266,35.082429,137.16016,34.04,283
267,35.08242,137.160159,34.04,284
268,35.08241,137.160158,34.05,285
269,35.082401,137.160158,34.05,286
270,35.082391,137.160157,34.05,287
271,35.082381,137.160156,34.05,288
272,35.082372,137.160155,34.05,290
273,35.082362,137.160155,34.05,291
274,35.082352,137.160154,34.05,292
275,35.082343,137.160153,34.05,293
276,35.082333,137.160152,33.97,294
277,35.082324,137.160151,33.97,295
278,35.082314,137.160151,33.97,296
279,35.082304,137.16015,33.97,297
280,35.082295,137.160149,33.97,298
281,35.082285,137.160148,33.97,299
282,35.082275,137.160147,33.97,300
283,35.082266,137.160147,34.06,301
284,35.082256,137.160146,34.06,302
285,35.082247,137.160145,34.06,303
286,35.082237,137.160144,34.06,305
287,35.082227,137.160143,33.95,306
288,35.082218,137.160143,33.95,307
289,35.082208,137.160142,33.95,308
290,35.082198,137.160141,33.94,309
291,35.082189,137.16014,33.94,310
292,35.082179,137.160139,33.94,311
293,35.08217,137.160139,33.94,312
294,35.08216,137.160138,33.88,313
295,35.08215,137.160137,33.88,314
296,35.082141,137.160136,33.88,315
297,35.082131,137.160135,33.88,316
298,35.082121,137.160135,33.86,317
299,35.082112,137.160134,33.86,318
300,35.082102,137.160133,33.86,320
