ID,lat,lng,alt,distance
174,36.535044,140.22943,156.16,1381
175,36.535101,140.229374,156.18,1390
176,36.535157,140.229318,156.1,1398
177,36.535213,140.229262,156.11,1406
178,36.535269,140.229206,156.23,1414
179,36.535325,140.22915,156.22,1421
180,36.535381,140.229095,156.24,1429
181,36.535437,140.229039,156.25,1437
182,36.535493,140.228983,156.19,1445
183,36.53555,140.228927,156.24,1453
184,36.535606,140.228871,156.26,1461
185,36.535662,140.228815,156.27,1469
186,36.535718,140.22876,156.18,1477
187,36.535774,140.228704,156.14,1485
188,36.53583,140.228648,156.23,1493
189,36.535886,140.228592,156.27,1501
190,36.535942,140.228536,156.2447368,1509
191,36.535999,140.22848,156.2494737,1517
192,36.536055,140.228425,156.2742105,1525
193,36.536111,140.228368,156.2089474,1533
194,36.536166,140.228312,156.2336842,1541
195,36.536222,140.228255,156.1284211,1549
196,36.536277,140.228198,156.1931579,1557
197,36.536332,140.228141,156.1378947,1565
198,36.536388,140.228084,156.1426316,1573
199,36.536443,140.228027,156.1673684,1581
200,36.536499,140.22797,156.0521053,1589
201,36.536554,140.227914,156.0568421,1597
202,36.53661,140.227857,156.0915789,1605
203,36.536665,140.2278,156.0263158,1613
204,36.536721,140.227743,156.0510526,1621
205,36.536776,140.227686,156.0557895,1629
206,36.536831,140.227629,156.0405263,1637
207,36.536887,140.227572,156.0052632,1645
208,36.536942,140.227515,155.95,1653
209,36.536985,140.227444,155.98,1661
210,36.537025,140.22737,155.86,1669
211,36.537066,140.227297,155.79,1677
212,36.537106,140.227223,155.79,1685
213,36.537147,140.227149,155.66,1693
214,36.53718,140.227071,155.71,1701
215,36.537198,140.226985,155.79,1709
216,36.537216,140.226899,155.66,1717
217,36.537234,140.226813,155.68,1725
218,36.537253,140.226726,155.59,1733
219,36.537271,140.22664,155.65,1741
220,36.537277,140.226552,155.52,1749
221,36.537275,140.226463,155.35,1757
222,36.537274,140.226373,155.34,1765
223,36.537273,140.226284,155.3,1773
224,36.537271,140.226195,155.3,1781
225,36.53727,140.226106,155.31,1788
226,36.537257,140.226019,155.12,1796
227,36.537234,140.225935,155.15,1804
228,36.537211,140.22585,155.05,1812
229,36.537187,140.225766,154.93,1820
230,36.537164,140.225682,154.9,1828
231,36.537139,140.225599,154.95,1836
232,36.537097,140.225526,154.95,1844
233,36.537055,140.225453,154.81,1852
234,36.537013,140.225381,154.66,1860
235,36.536972,140.225308,154.6,1868
236,36.536928,140.225237,154.65,1876
237,36.536883,140.225167,154.62,1884
238,36.536838,140.225098,154.58,1892
239,36.536784,140.225041,154.52,1900
240,36.536724,140.22499,154.36,1908
241,36.536665,140.22494,154.36,1916
242,36.536606,140.22489,154.34,1924
243,36.536542,140.224847,154.33,1932
244,36.536479,140.224805,154.28,1940
245,36.536415,140.224764,154.1,1948
246,36.536346,140.224738,154.1,1956
247,36.536277,140.224713,154.13,1964
248,36.536208,140.224687,154,1972
249,36.536139,140.224663,154.01,1980
250,36.536068,140.224652,153.93,1988
251,36.535996,140.224642,153.99,1996
252,36.535925,140.224631,153.88,2004
253,36.535853,140.224623,153.89,2012
254,36.535782,140.224637,153.86,2020
255,36.535711,140.224651,153.65,2028
256,36.53564,140.224666,153.61,2036
257,36.535569,140.22468,153.68,2044
258,36.5355,140.224702,153.58,2052
259,36.535431,140.224728,153.68,2060
260,36.535362,140.224754,153.45,2068
261,36.535293,140.224781,153.51,2076
262,36.535225,140.224807,153.66,2084
263,36.535156,140.224834,153.59,2092
264,36.535087,140.22486,153.54,2100
265,36.535018,140.224887,153.8,2108
266,36.53495,140.224913,153.75,2116
267,36.534881,140.22494,153.88,2124
268,36.534816,140.224979,153.8,2132
269,36.534752,140.225018,153.78,2140
270,36.534687,140.225057,153.67,2148
271,36.534622,140.225096,153.69,2156
272,36.534557,140.225135,153.61,2164
273,36.534494,140.225177,153.68,2172
274,36.53443,140.225218,153.65,2180
275,36.534366,140.22526,153.49,2188
276,36.534303,140.225301,153.57,2196
277,36.534239,140.225343,153.47,2204
278,36.534175,140.225384,153.51,2212
279,36.534112,140.225426,153.47,2220
280,36.534048,140.225468,153.48,2228
281,36.533984,140.225509,153.52,2236
282,36.533921,140.225551,153.44,2244
283,36.533857,140.225592,153.54,2252
284,36.533793,140.225634,153.48,2260
285,36.53373,140.225675,153.54,2268
286,36.533666,140.225717,153.55,2276
287,36.533602,140.225759,153.52,2284
288,36.533539,140.2258,153.51,2292
289,36.533475,140.225842,153.58,2300
290,36.533411,140.225883,153.58,2308
291,36.533348,140.225925,153.62,2316
292,36.533284,140.225966,153.56,2324
293,36.53322,140.226008,153.5,2332
294,36.533157,140.22605,153.48,2340
295,36.533093,140.226091,153.47,2348
296,36.533029,140.226133,153.51,2356
297,36.532966,140.226174,153.46,2364
298,36.532902,140.226216,153.52,2372
299,36.532838,140.226257,153.4,2380
300,36.532817,140.226284,153.3,2383
