ID,lat,lng,alt,distance
176,34.841496,136.539313,30.85,1302
177,34.841559,136.539283,31.07,1310
178,34.841622,136.539256,31.39,1317
179,34.841687,136.539233,31.78,1325
180,34.841751,136.539209,32.16,1332
181,34.841816,136.539186,32.54,1339
182,34.84188,136.539163,32.97,1347
183,34.841945,136.53914,33.15,1354
184,34.842002,136.539102,33.6,1362
185,34.84205,136.539044,33.84,1369
186,34.842098,136.538987,34.34,1377
187,34.842146,136.53893,34.65,1384
188,34.842193,136.538872,34.96,1392
189,34.842212,136.538793,35.3,1399
190,34.842231,136.538715,35.54,1406
191,34.842249,136.538636,35.97,1414
192,34.842268,136.538558,36.47,1421
193,34.842286,136.538479,36.66,1429
194,34.842299,136.5384,37.01,1436
195,34.842302,136.538318,37.33,1444
196,34.842304,136.538236,37.73,1451
197,34.842307,136.538155,38.06,1459
198,34.84231,136.538073,38.3,1466
199,34.842312,136.537991,38.55,1474
200,34.842315,136.53791,38.73,1481
201,34.842328,136.53783,38.84,1488
202,34.842349,136.537753,38.97,1496
203,34.842371,136.537676,39.14,1503
204,34.842393,136.537599,39.24,1511
205,34.842415,136.537522,39.3,1518
206,34.84244,136.537446,39.42,1526
207,34.842487,136.537388,39.36,1533
208,34.842534,136.537329,39.31,1541
209,34.842581,136.537271,39.25,1548
210,34.842629,136.537214,39.23,1555
211,34.842688,136.537174,39.18,1563
212,34.842746,136.537134,39.04,1570
213,34.842805,136.537094,38.83,1578
214,34.842865,136.537059,38.68,1585
215,34.842932,136.537049,38.53,1593
216,34.842999,136.537039,38.29,1600
217,34.843066,136.537028,38.08,1608
218,34.843131,136.537036,37.88,1615
219,34.843196,136.537058,37.6,1623
220,34.843261,136.53708,37.53,1630
221,34.843326,136.537102,37.34,1638
222,34.843391,136.537124,37.33,1645
223,34.843455,136.537147,37.28,1652
224,34.843519,136.537175,37.27,1660
225,34.843582,136.537204,37.3,1668
226,34.843645,136.537232,37.39,1675
227,34.843708,136.53726,37.38,1682
228,34.843772,136.537288,37.62,1690
229,34.843835,136.537316,37.93,1697
230,34.843898,136.537344,38.21,1705
231,34.843965,136.537348,38.61,1712
232,34.844032,136.53735,39.13,1720
233,34.8441,136.537352,39.67,1727
234,34.844167,136.537355,39.96,1735
235,34.844233,136.53735,40.57,1742
236,34.844295,136.537317,41.25,1750
237,34.844356,136.537283,41.82,1757
238,34.844418,136.53725,42.42,1765
239,34.844479,136.537216,42.73,1772
240,34.84454,136.537182,43.45,1780
241,34.844589,136.53713,43.85,1787
242,34.844629,136.537064,44.59,1794
243,34.84467,136.536999,45.11,1802
244,34.84471,136.536933,45.61,1809
245,34.844749,136.536867,46.22,1817
246,34.844777,136.536793,46.82,1824
247,34.844806,136.536719,47.27,1832
248,34.844835,136.536645,47.54,1839
249,34.844864,136.536571,48.15,1847
250,34.844892,136.536497,48.67,1854
251,34.844938,136.53644,49.1,1861
252,34.844991,136.53639,49.64,1869
253,34.845045,136.53634,49.91,1876
254,34.845107,136.536313,50.31,1884
255,34.845172,136.536294,50.48,1891
256,34.845238,136.536275,50.77,1899
257,34.845303,136.536257,50.87,1906
258,34.845369,136.536238,51.04,1914
259,34.845436,136.536231,50.99,1921
260,34.845503,136.536232,50.88,1929
261,34.84557,136.536234,50.75,1936
262,34.845638,136.536235,50.59,1944
263,34.8457,136.536265,50.28,1951
264,34.845763,136.536296,49.94,1958
265,34.845825,136.536326,49.88,1966
266,34.845886,136.53636,49.63,1973
267,34.845928,136.536424,49.09,1981
268,34.84597,136.536488,49.06,1988
269,34.846012,136.536552,48.67,1996
270,34.846032,136.536627,48.1,2003
271,34.846046,136.536707,48,2010
272,34.846059,136.536788,47.5,2018
273,34.846056,136.536868,47,2025
274,34.846048,136.536949,46.6,2033
275,34.846039,136.53703,46.24,2040
276,34.846031,136.537111,45.65,2048
277,34.84601,136.537188,45.37,2055
278,34.845982,136.537262,44.99,2062
279,34.845953,136.537336,44.49,2070
280,34.845925,136.537411,43.96,2077
281,34.845893,136.537482,43.64,2085
282,34.845855,136.53755,43.25,2092
283,34.845817,136.537617,42.72,2100
284,34.845779,136.537685,42.47,2107
285,34.845739,136.53775,42.11,2115
286,34.845696,136.537813,41.88,2122
287,34.845654,136.537877,41.65,2130
288,34.845611,136.53794,41.19,2137
289,34.845569,136.538003,41.04,2145
290,34.845526,136.538067,40.83,2152
291,34.845479,136.538124,40.7,2160
292,34.845429,136.53818,40.41,2167
293,34.84538,136.538236,40.22,2175
294,34.845331,136.538291,39.88,2182
295,34.845281,136.538347,39.76,2189
296,34.845232,136.538402,39.55,2197
297,34.845181,136.538455,39.25,2204
298,34.845128,136.538507,39.06,2212
299,34.845076,136.538559,38.75,2219
300,34.845024,136.53861,38.59,2227
